Species	Protein ID	Family	Genome/EST	Category
Oryza sativa subsp. japonica	LOC_Os06g24850.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g39590.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g39590.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g08460.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g08460.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g01780.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g01780.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g35870.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g11410.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g40890.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g40900.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g50960.1	Coactivator p15	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g34830.1	Coactivator p15	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g34840.1	Coactivator p15	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g48180.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g35100.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g35100.2	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g35880.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g42750.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g46690.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05130.1	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05130.2	DDT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42470.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42470.2	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g73480.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g08400.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g46700.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g48650.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g53260.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g56219.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g05710.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g07990.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g09860.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g09860.2	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g10810.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g31690.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g46200.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g46250.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g49230.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g55530.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58010.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58020.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58030.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g39140.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g40840.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g54330.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g54330.2	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g54330.3	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g31254.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g32180.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g40260.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g44020.4	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g44100.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g02540.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g16130.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g39690.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g01170.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g16010.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g31310.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g28040.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g35680.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g32280.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g32280.2	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g37490.1	GNAT	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08970.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08970.2	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g47600.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g15810.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g44930.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g47690.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g47690.2	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g47690.3	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08970.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g51220.2	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g51220.3	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g51220.4	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g01100.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g37910.1	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g37910.2	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g37910.3	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g37910.4	HMG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g05420.1	IWS1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g36630.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g01940.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g46930.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g58210.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g58210.2	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g05680.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g22540.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g27250.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g31594.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g31594.2	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g10770.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g23670.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g22540.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g42690.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g36450.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g07200.1	Jumonji	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08190.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08190.2	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08190.3	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08190.5	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42260.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42260.2	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42260.3	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42260.4	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g42270.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g56880.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g64300.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g43130.1	LUG	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g39240.1	MBF1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g27850.1	MBF1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g27850.2	MBF1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g11370.1	MED6	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g56640.1	MED7	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g56640.2	MED7	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g56640.3	MED7	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08820.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g11952.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g11960.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g11960.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g65600.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g66070.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g73460.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g03030.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g04490.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g09910.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g09920.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g48810.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g52960.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g04980.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g15990.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g19020.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g19020.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g19020.3	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g19190.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g50780.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g53630.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g53700.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58530.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58530.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g34720.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g34720.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g35430.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g52020.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g59510.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g03430.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g03430.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g03430.3	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g01170.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g01320.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g08790.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g10690.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g10690.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g17280.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g51450.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g51490.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g07690.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g07690.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g08880.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g08880.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g31450.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49030.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49030.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49290.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g01420.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g32620.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g32620.3	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g32620.4	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g04890.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g21770.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g27620.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g38440.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g06130.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g12650.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g18770.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g18770.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g06480.2	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g24540.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g34330.1	PHD	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g40510.1	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g17570.1	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g17570.2	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g17570.3	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49460.1	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49460.2	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49460.3	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49460.4	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g36220.1	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g36220.2	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05930.1	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05930.2	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05930.3	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g05930.4	Pseudo ARR-B	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g42600.1	RB	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g42600.2	RB	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g32900.1	RB	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g32900.2	RB	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g19420.1	Rcd1-like	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g19880.1	Rcd1-like	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g57130.1	Rcd1-like	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g52340.1	Rcd1-like	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g37790.1	Rcd1-like	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g46700.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g59620.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g65730.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g70220.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g34850.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g39800.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g40770.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g40770.2	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g47900.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g49326.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g50100.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g19480.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g34976.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g34976.2	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g45990.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g41172.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g41172.2	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g50980.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g03676.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g16390.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g25450.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g28840.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g08210.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g14660.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g30910.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g34370.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g45130.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g13740.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g13740.2	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g19830.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g24530.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g03700.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os11g38900.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g03460.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g13460.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os12g41900.1	SET	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g01312.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g27040.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g44990.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g57110.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g57110.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g65850.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g72310.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g02050.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g02290.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g06592.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g32570.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g32570.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g43460.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g52510.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g01200.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g22900.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g51230.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g51230.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g09800.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g47830.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g53720.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g59620.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g59624.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g59624.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os04g59624.3	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g05230.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g05780.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g15890.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g32610.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g08480.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g14440.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g14440.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g14440.3	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g14440.4	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g25390.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g40730.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g40730.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g40730.3	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g44210.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g44800.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g46590.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g49210.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g08220.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g08220.2	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g08220.3	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os08g14610.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g27060.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g31970.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g41620.1	SNF2	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g07020.1	SOH1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os07g07020.2	SOH1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os10g41450.1	SOH1	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g66140.1	SWI/SNF-BAF60b	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g03730.1	SWI/SNF-BAF60b	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g55310.1	SWI/SNF-BAF60b	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g55570.1	SWI/SNF-BAF60b	Genome	Other
